VP,Produkt,Preis echt (E) oder geschätzt (G),Kosten,Klingen
18,A6.5,G,9.75,0
18,P6,G,3,0
18,A7,G,10,0
18,P7,G,2,0
18,A5,G,10,0
18,P5,G,3,0
18,A3,G,15,0
18,A3.5,G,15,0
18,P3,G,8,0
18,A2,G,1,0
18,P2,G,0,0
19,P6,G,2,0
19,A6,G,4,0
19,A6.5,G,4,0
19,P4,G,30,5
19,A4,G,30,4
19,P7,G,1.5,0
19,A7,G,3,0
19,P1,G,0,0
19,A1,G,6,0
19,P3,G,6,0
19,A3,G,10,0
19,A3.5,G,10,0
19,P2,G,0,0
19,A2,G,3,0
19,P5,G,1.5,0
19,A5,G,5,0
20,A7,G,3,0
20,P7,G,2.49,0
20,A5,G,4,0
20,P5,G,2,0
20,A4,G,6.5,5
20,P4,G,7.5,14
20,A6,G,7,0
20,A6.5,G,7,0
20,P6,G,3,0
20,A2,G,2,0
20,P2,G,0,0
20,A1,G,8.5,0
20,P1,G,0,0
20,A3,G,10,0
20,A3.5,G,10,0
20,P3,G,10,0
21,P5,G,2.5,0
21,A5,G,3,0
21,P1,G,0,0
21,A1,G,20,0
21,P7,G,1.5,0
21,A7,G,3.5,0
21,P3,G,20,0
21,A3,G,27,0
21,A3.5,G,27,0
21,P2,G,0,0
21,A2,G,5,0
21,P6,G,1,0
21,A6,G,7.5,0
21,A6.5,G,7.5,0
21,P4,G,10,20
21,A4,G,23,3.5
22,A7,G,2.5,0
22,P7,G,1.25,0
22,A6,G,17,0
22,A6.5,G,17,0
22,P6,G,1,0
22,A5,G,5,0
22,P5,G,1.7,0
22,A3,G,25,0
22,A3.5,G,25,0
22,P3,G,14,0
22,A1,G,15,0
22,P1,G,0,0
22,A2,G,5,0
22,P2,G,0,0
22,A4,G,20,10
22,P4,G,11,18
23,P5,G,3.5,0
23,A5,G,4,0
23,P7,G,2,0
23,A7,G,3,0
23,P3,G,10,0
23,A3,G,25,0
23,A3.5,G,25,0
23,P4,G,10,12
23,A4,G,25,5
23,P6,G,3,0
23,A6,G,10,0
23,A6.5,G,10,0
23,P2,G,0,0
23,A2,G,1,0
23,P1,G,0,0
23,A1,G,15,0
24,A7,G,10,0
24,P7,G,3,0
24,A6,G,12,0
24,A6.5,G,12,0
24,P6,G,3,0
24,A4,G,30,25
24,P4,G,13,18
24,A2,G,3,0
24,P2,G,0,0
24,A3,G,20,0
24,A3.5,G,20,0
24,P3,G,9,0
24,A5,G,7,0
24,P5,G,2,0
24,A1,G,10,0
24,P1,G,0,0
25,P2,G,0,0
25,A2,G,1.5,0
25,P1,G,0,0
25,A1,G,17,0
25,P3,G,20,0
25,A3,G,20,0
25,A3.5,G,20,0
25,P7,G,0.75,0
25,A7,G,2.5,0
25,P4,G,8,13
25,A4,G,12,3
25,P5,G,1.2,0
25,A5,G,4.5,0
25,P6,G,3,0
25,A6,G,6,0
25,A6.5,G,6,0
26,A1,G,6.5,0
26,P1,G,0,0
26,A2,G,3,0
26,P2,G,0,0
26,A5,G,10,0
26,P5,G,2.5,0
26,A4,G,20,8
26,P4,G,15,7
26,A7,G,3,0
26,P7,G,2.5,0
26,A6,G,10,0
26,A6.5,G,10,0
26,P6,G,3,0
26,A3,G,7,0
26,A3.5,G,7,0
26,P3,G,7,0
27,P2,G,0,0
27,A2,G,1.5,0
27,P4,G,12,25
27,A4,G,10,5
27,P7,G,3,0
27,A7,G,5,0
27,P6,G,1,0
27,A6,G,11.5,0
27,A6.5,G,11.5,0
27,P1,G,0,0
27,A1,G,7,0
27,P5,G,3,0
27,A5,G,8,0
27,P3,G,10,0
27,A3,G,15,0
27,A3.5,G,15,0
28,A7,G,5,0
28,P7,G,2.5,0
28,A3,G,15,0
28,A3.5,G,15,0
28,P3,G,10,0
28,A5,G,4.5,0
28,P5,G,2.5,0
28,A2,G,3,0
28,P2,G,0,0
28,A1,G,17,0
28,P1,G,0,0
28,A4,G,17,5
28,P4,G,15,7
28,A6,G,6,0
28,A6.5,G,6,0
28,P6,G,3,0
29,P6,G,1.29,0
29,A6,G,6.99,0
29,A6.5,G,6.99,0
29,P2,G,0,0
29,A2,G,1,0
29,P7,G,0.8,0
29,A7,G,2.5,0
29,P1,G,0,0
29,A1,G,5,0
29,P3,G,5,0
29,A3,G,8,0
29,A3.5,G,8,0
29,P5,G,1.2,0
29,A5,G,2.5,0
29,P4,G,3,5
29,A4,G,12,4
30,A7,G,5,0
30,P7,G,2,0
30,A6,G,15,0
30,A6.5,G,15,0
30,P6,G,2,0
30,A5,G,6,0
30,P5,G,2,0
30,A1,G,13,0
30,P1,G,0,0
30,A3,G,20,0
30,A3.5,G,20,0
30,P3,G,12,0
30,A2,G,2,0
30,P2,G,0,0
30,A4,G,15,10
30,P4,G,5,10
31,P4,G,6.5,8.5
31,A4,G,16,6
31,P3,G,8,0
31,A3,G,17,0
31,A3.5,G,17,0
31,P1,G,0,0
31,A1,G,14,0
31,P6,G,3,0
31,A6,G,3,0
31,A6.5,G,3,0
31,P7,G,2,0
31,A7,G,4,0
31,P5,G,3.5,0
31,A5,G,4,0
31,P2,G,0,0
31,A2,G,2.5,0
32,A6,G,6,0
32,A6.5,G,6,0
32,P6,G,3.5,0
32,A4,G,34.89,0.9
32,P4,G,16,15
32,A2,G,5,0
32,P2,G,0,0
32,A3,G,20,0
32,A3.5,G,20,0
32,P3,G,12,0
32,A1,G,12,0
32,P1,G,0,0
32,A5,G,8,0
32,P5,G,3.5,0
32,A7,G,2.5,0
32,P7,G,2.2,0
33,P3,G,30,0
33,A3,G,30,0
33,A3.5,G,30,0
33,P2,G,0,0
33,A2,G,4,0
33,P4,G,10,15
33,A4,G,15,15
33,P1,G,0,0
33,A1,G,19,0
33,P6,G,5,0
33,A6,G,12,0
33,A6.5,G,12,0
33,P5,G,1,0
33,A5,G,8,0
33,P7,G,3,0
33,A7,G,5,0
34,A1,G,6,0
34,P1,G,0,0
34,A7,G,5,0
34,P7,G,1.3,0
34,A3,G,15,0
34,A3.5,G,15,0
34,P3,G,8,0
34,A2,G,2,0
34,P2,G,0,0
34,A6,G,5.5,0
34,A6.5,G,5.5,0
34,P6,G,2,0
34,A5,G,4,0
34,P5,G,2,0
34,A4,G,30,7
34,P4,G,8,4.5
35,P4,G,5,3
35,A4,G,7,4
35,P5,G,2.5,0
35,A5,G,3.5,0
35,P1,G,0,0
35,A1,G,10,0
35,P3,G,14,0
35,A3,G,25,0
35,A3.5,G,25,0
35,P7,G,1.5,0
35,A7,G,2.5,0
35,P6,G,2.5,0
35,A6,G,5,0
35,A6.5,G,5,0
35,P2,G,0,0
35,A2,G,2,0
36,A7,G,4,0
36,P7,G,2,0
36,A3,G,19,0
36,A3.5,G,19,0
36,P3,G,9,0
36,A1,G,9,0
36,P1,G,0,0
36,A6,G,20,0
36,A6.5,G,20,0
36,P6,G,2,0
36,A2,G,4,0
36,P2,G,0,0
36,A5,G,6,0
36,P5,G,2.5,0
36,A4,G,20,3
36,P4,G,8,8
37,P4,G,15,7
37,A4,G,33,10
37,P6,G,1.5,0
37,A6,G,5,0
37,A6.5,G,5,0
37,P3,G,4.5,0
37,A3,G,6,0
37,A3.5,G,6,0
37,P5,G,2,0
37,A5,G,3.25,0
37,P2,G,0,0
37,A2,G,1.5,0
37,P1,G,0,0
37,A1,G,7.95,0
37,P7,G,0.75,0
37,A7,G,3,0
38,A5,G,3,0
38,P5,G,1.5,0
38,A7,G,5,0
38,P7,G,1,0
38,A1,G,15,0
38,P1,G,0,0
38,A4,G,20,2.99
38,P4,G,13.95,5.99
38,A3,G,20,0
38,A3.5,G,20,0
38,P3,G,5,0
38,A2,G,1,0
38,P2,G,0,0
38,A6,G,2.75,0
38,A6.5,G,2.75,0
38,P6,G,0.59,0
39,P4,G,20,20
39,A4,G,20,10
39,P2,G,0,0
39,A2,G,1,0
39,P5,G,3,0
39,A5,G,5,0
39,P1,G,0,0
39,A1,G,10,0
39,P7,G,2,0
39,A7,G,4,0
39,P6,G,2,0
39,A6,G,10,0
39,A6.5,G,10,0
39,P3,G,5,0
39,A3,G,10,0
39,A3.5,G,10,0
40,A6,G,10,0
40,A6.5,G,10,0
40,P6,G,2,0
40,A1,G,20,0
40,P1,G,0,0
40,A5,G,5,0
40,P5,G,3,0
40,A7,G,5,0
40,P7,G,1.5,0
40,A3,G,30,0
40,A3.5,G,30,0
40,P3,G,10,0
40,A4,G,20,0
40,P4,G,20,0
40,A2,G,2,0
40,P2,G,0,0
41,P5,G,5,0
41,A5,G,4,0
41,P6,G,1,0
41,A6,G,10,0
41,A6.5,G,10,0
41,P2,G,0,0
41,A2,G,0.5,0
41,P4,G,10,2
41,A4,G,15,1
41,P3,G,10,0
41,A3,G,10,0
41,A3.5,G,10,0
41,P1,G,0,0
41,A1,G,5,0
41,P7,G,0.5,0
41,A7,G,2,0
42,A5,G,9,0
42,P5,G,3,0
42,A2,G,4,0
42,P2,G,0,0
42,A6,G,4,0
42,A6.5,G,4,0
42,P6,G,2,0
42,A1,G,10,0
42,P1,G,0,0
42,A4,G,15,10
42,P4,G,8,9
42,A3,G,23,0
42,A3.5,G,23,0
42,P3,G,13,0
42,A7,G,5,0
42,P7,G,3.5,0
43,P7,G,4,0
43,A7,G,5,0
43,P4,G,8,15
43,A4,G,10,10
43,P5,G,3,0
43,A5,G,4.5,0
43,P6,G,4,0
43,A6,G,10,0
43,A6.5,G,10,0
43,P3,G,7,0
43,A3,G,8,0
43,A3.5,G,8,0
43,P1,G,0,0
43,A1,G,3.5,0
43,P2,G,0,0
43,A2,G,2,0
44,A1,G,7.5,0
44,P1,G,0,0
44,A4,G,12,5
44,P4,G,8,10
44,A6,G,7,0
44,A6.5,G,7,0
44,P6,G,1,0
44,A5,G,4,0
44,P5,G,2,0
44,A2,G,4,0
44,P2,G,0,0
44,A3,G,20,0
44,A3.5,G,20,0
44,P3,G,5,0
44,A7,G,2,0
44,P7,G,1.5,0
45,P7,G,0.9,0
45,A7,G,2,0
45,P3,G,7.95,0
45,A3,G,14.5,0
45,A3.5,G,14.5,0
45,P6,G,1.3,0
45,A6,G,10,0
45,A6.5,G,10,0
45,P1,G,0,0
45,A1,G,13,0
45,P5,G,1.7,0
45,A5,G,2.2,0
45,P2,G,0,0
45,A2,G,1.4,0
45,P4,G,3,4
45,A4,G,18,6
46,A4,G,15,1.5
46,P4,G,12,5
46,A1,G,12,0
46,P1,G,0,0
46,A7,G,15,0
46,P7,G,3,0
46,A6,G,10,0
46,A6.5,G,10,0
46,P6,G,4,0
46,A2,G,1,0
46,P2,G,0,0
46,A3,G,15,0
46,A3.5,G,15,0
46,P3,G,10,0
46,A5,G,2.5,0
46,P5,G,2,0
47,P7,G,3,0
47,A7,G,4.5,0
47,P4,G,10,15
47,A4,G,20,10
47,P1,G,0,0
47,A1,G,10,0
47,P2,G,0,0
47,A2,G,2,0
47,P6,G,1.5,0
47,A6,G,10,0
47,A6.5,G,10,0
47,P3,G,8,0
47,A3,G,30,0
47,A3.5,G,30,0
47,P5,G,3,0
47,A5,G,5,0
48,A2,G,0.99,0
48,P2,G,0,0
48,A1,G,7.95,0
48,P1,G,0,0
48,A3,G,12,0
48,A3.5,G,12,0
48,P3,G,6,0
48,A7,G,5,0
48,P7,G,0.9,0
48,A5,G,10,0
48,P5,G,1.5,0
48,A6,G,7,0
48,A6.5,G,7,0
48,P6,G,1.5,0
48,A4,G,15,3
48,P4,G,8,4
1,P6,E,5.41,0
1,A6,E,9.53,0
1,A6.5,E,9.53,0
1,P5,E,3.5,0
1,A5,E,7.6,0
1,P7,E,1.82,0
1,A7,E,3.5,0
1,P4,E,8.28,13.1
1,A4,E,34.95,1.45
1,P3,E,13.22,0
1,A3,E,24.18,0
1,A3.5,E,24.18,0
1,P2,E,0,0
1,A2,E,3.6,0
1,P1,E,0,0
1,A1,E,14.01,0
2,A3,E,24.18,0
2,A3.5,E,24.18,0
2,P3,E,13.22,0
2,A2,E,3.6,0
2,P2,E,0,0
2,A7,E,3.5,0
2,P7,E,1.82,0
2,A4,E,34.95,13.1
2,P4,E,8.28,1.45
2,A6,E,9.53,0
2,A6.5,E,9.53,0
2,P6,E,5.41,0
2,A1,E,14.01,0
2,P1,E,0,0
2,A5,E,7.6,0
2,P5,E,3.5,0
3,P2,E,0,0
3,A2,E,3.6,0
3,P1,E,0,0
3,A1,E,14.01,0
3,P6,E,5.41,0
3,A6,E,9.53,0
3,A6.5,E,9.53,0
3,P5,E,3.5,0
3,A5,E,7.6,0
3,P4,E,8.28,13.1
3,A4,E,34.95,1.45
3,P3,E,13.22,0
3,A3,E,24.18,0
3,A3.5,E,24.18,0
3,P7,E,1.82,0
3,A7,E,3.5,0
4,A2,E,3.6,0
4,P2,E,0,0
4,A6,E,9.53,0
4,A6.5,E,9.53,0
4,P6,E,5.41,0
4,A7,E,3.5,0
4,P7,E,1.82,0
4,A4,E,34.95,13.1
4,P4,E,8.28,1.45
4,A5,E,7.6,0
4,P5,E,3.5,0
4,A1,E,14.01,0
4,P1,E,0,0
4,A3,E,24.18,0
4,A3.5,E,24.18,0
4,P3,E,13.22,0
5,P2,E,0,0
5,A2,E,3.6,0
5,P1,E,0,0
5,A1,E,14.01,0
5,P4,E,8.28,13.1
5,A4,E,34.95,1.45
5,P3,E,13.22,0
5,A3,E,24.18,0
5,A3.5,E,24.18,0
5,P7,E,1.82,0
5,A7,E,3.5,0
5,P6,E,5.41,0
5,A6,E,9.53,0
5,A6.5,E,9.53,0
5,P5,E,3.5,0
5,A5,E,7.6,0
6,A2,E,3.6,0
6,P2,E,0,0
6,A3,E,24.18,0
6,A3.5,E,24.18,0
6,P3,E,13.22,0
6,A7,E,3.5,0
6,P7,E,1.82,0
6,A4,E,34.95,13.1
6,P4,E,8.28,1.45
6,A5,E,7.6,0
6,P5,E,3.5,0
6,A1,E,14.01,0
6,P1,E,0,0
6,A6,E,9.53,0
6,A6.5,E,9.53,0
6,P6,E,5.41,0
7,P7,E,1.82,0
7,A7,E,3.5,0
7,P6,E,5.41,0
7,A6,E,9.53,0
7,A6.5,E,9.53,0
7,P3,E,13.22,0
7,A3,E,24.18,0
7,A3.5,E,24.18,0
7,P1,E,0,0
7,A1,E,14.01,0
7,P5,E,3.5,0
7,A5,E,7.6,0
7,P4,E,8.28,13.1
7,A4,E,34.95,1.45
7,P2,E,0,0
7,A2,E,3.6,0
8,A3,E,24.18,0
8,A3.5,E,24.18,0
8,P3,E,13.22,0
8,A5,E,7.6,0
8,P5,E,3.5,0
8,A6,E,9.53,0
8,A6.5,E,9.53,0
8,P6,E,5.41,0
8,A1,E,14.01,0
8,P1,E,0,0
8,A7,E,3.5,0
8,P7,E,1.82,0
8,A2,E,3.6,0
8,P2,E,0,0
8,A4,E,34.95,13.1
8,P4,E,8.28,1.45
9,P5,E,3.5,0
9,A5,E,7.6,0
9,P1,E,0,0
9,A1,E,14.01,0
9,P4,E,8.28,13.1
9,A4,E,34.95,1.45
9,P3,E,13.22,0
9,A3,E,24.18,0
9,A3.5,E,24.18,0
9,P2,E,0,0
9,A2,E,3.6,0
9,P7,E,1.82,0
9,A7,E,3.5,0
9,P6,E,5.41,0
9,A6,E,9.53,0
9,A6.5,E,9.53,0
10,A7,E,3.5,0
10,P7,E,1.82,0
10,A1,E,14.01,0
10,P1,E,0,0
10,A6,E,9.53,0
10,A6.5,E,9.53,0
10,P6,E,5.41,0
10,A4,E,34.95,13.1
10,P4,E,8.28,1.45
10,A3,E,24.18,0
10,A3.5,E,24.18,0
10,P3,E,13.22,0
10,A5,E,7.6,0
10,P5,E,3.5,0
10,A2,E,3.6,0
10,P2,E,0,0
11,P1,E,0,0
11,A1,E,14.01,0
11,P4,E,8.28,13.1
11,A4,E,34.95,1.45
11,P3,E,13.22,0
11,A3,E,24.18,0
11,A3.5,E,24.18,0
11,P6,E,5.41,0
11,A6,E,9.53,0
11,A6.5,E,9.53,0
11,P7,E,1.82,0
11,A7,E,3.5,0
11,P5,E,3.5,0
11,A5,E,7.6,0
11,P2,E,0,0
11,A2,E,3.6,0
12,A6,E,9.53,0
12,A6.5,E,9.53,0
12,P6,E,5.41,0
12,A3,E,24.18,0
12,A3.5,E,24.18,0
12,P3,E,13.22,0
12,A4,E,34.95,13.1
12,P4,E,8.28,1.45
12,A7,E,3.5,0
12,P7,E,1.82,0
12,A1,E,14.01,0
12,P1,E,0,0
12,A5,E,7.6,0
12,P5,E,3.5,0
12,A2,E,3.6,0
12,P2,E,0,0
13,P7,E,1.82,0
13,A7,E,3.5,0
13,P4,E,8.28,13.1
13,A4,E,34.95,1.45
13,P2,E,0,0
13,A2,E,3.6,0
13,P6,E,5.41,0
13,A6,E,9.53,0
13,A6.5,E,9.53,0
13,P1,E,0,0
13,A1,E,14.01,0
13,P3,E,13.22,0
13,A3,E,24.18,0
13,A3.5,E,24.18,0
13,P5,E,3.5,0
13,A5,E,7.6,0
14,A1,E,14.01,0
14,P1,E,0,0
14,A6,E,9.53,0
14,A6.5,E,9.53,0
14,P6,E,5.41,0
14,A5,E,7.6,0
14,P5,E,3.5,0
14,A7,E,3.5,0
14,P7,E,1.82,0
14,A3,E,24.18,0
14,A3.5,E,24.18,0
14,P3,E,13.22,0
14,A2,E,3.6,0
14,P2,E,0,0
14,A4,E,34.95,13.1
14,P4,E,8.28,1.45
15,P4,E,8.28,13.1
15,A4,E,34.95,1.45
15,P6,E,5.41,0
15,A6,E,9.53,0
15,A6.5,E,9.53,0
15,P2,E,0,0
15,A2,E,3.6,0
15,P7,E,1.82,0
15,A7,E,3.5,0
15,P3,E,13.22,0
15,A3,E,24.18,0
15,A3.5,E,24.18,0
15,P1,E,0,0
15,A1,E,14.01,0
15,P5,E,3.5,0
15,A5,E,7.6,0
16,A6,E,9.53,0
16,A6.5,E,9.53,0
16,P6,E,5.41,0
16,A4,E,34.95,13.1
16,P4,E,8.28,1.45
16,A7,E,3.5,0
16,P7,E,1.82,0
16,A2,E,3.6,0
16,P2,E,0,0
16,A3,E,24.18,0
16,A3.5,E,24.18,0
16,P3,E,13.22,0
16,A1,E,14.01,0
16,P1,E,0,0
16,A5,E,7.6,0
16,P5,E,3.5,0
17,P1,E,0,0
17,A1,E,14.01,0
17,P2,E,0,0
17,A2,E,3.6,0
17,P3,E,13.22,0
17,A3,E,24.18,0
17,A3.5,E,24.18,0
17,P6,E,5.41,0
17,A6,E,9.53,0
17,A6.5,E,9.53,0
17,P5,E,3.5,0
17,A5,E,7.6,0
17,P7,E,1.82,0
17,A7,E,3.5,0
17,P4,E,8.28,13.1
17,A4,E,34.95,1.45
18,A1,E,14.01,0
18,P1,E,0,0
18,A4,E,34.95,13.1
18,P4,E,8.28,1.45
18,A6,E,9.53,0
18,A6.5,E,9.53,0
18,P6,E,5.41,0
18,A7,E,3.5,0
18,P7,E,1.82,0
18,A5,E,7.6,0
18,P5,E,3.5,0
18,A3,E,24.18,0
18,A3.5,E,24.18,0
18,P3,E,13.22,0
18,A2,E,3.6,0
18,P2,E,0,0
19,P6,E,5.41,0
19,A6,E,9.53,0
19,A6.5,E,9.53,0
19,P4,E,8.28,13.1
19,A4,E,34.95,1.45
19,P7,E,1.82,0
19,A7,E,3.5,0
19,P1,E,0,0
19,A1,E,14.01,0
19,P3,E,13.22,0
19,A3,E,24.18,0
19,A3.5,E,24.18,0
19,P2,E,0,0
19,A2,E,3.6,0
19,P5,E,3.5,0
19,A5,E,7.6,0
20,A7,E,3.5,0
20,P7,E,1.82,0
20,A5,E,7.6,0
20,P5,E,3.5,0
20,A4,E,34.95,13.1
20,P4,E,8.28,1.45
20,A6,E,9.53,0
20,A6.5,E,9.53,0
20,P6,E,5.41,0
20,A2,E,3.6,0
20,P2,E,0,0
20,A1,E,14.01,0
20,P1,E,0,0
20,A3,E,24.18,0
20,A3.5,E,24.18,0
20,P3,E,13.22,0
21,P5,E,3.5,0
21,A5,E,7.6,0
21,P1,E,0,0
21,A1,E,14.01,0
21,P7,E,1.82,0
21,A7,E,3.5,0
21,P3,E,13.22,0
21,A3,E,24.18,0
21,A3.5,E,24.18,0
21,P2,E,0,0
21,A2,E,3.6,0
21,P6,E,5.41,0
21,A6,E,9.53,0
21,A6.5,E,9.53,0
21,P4,E,8.28,13.1
21,A4,E,34.95,1.45
22,A7,E,3.5,0
22,P7,E,1.82,0
22,A6,E,9.53,0
22,A6.5,E,9.53,0
22,P6,E,5.41,0
22,A5,E,7.6,0
22,P5,E,3.5,0
22,A3,E,24.18,0
22,A3.5,E,24.18,0
22,P3,E,13.22,0
22,A1,E,14.01,0
22,P1,E,0,0
22,A2,E,3.6,0
22,P2,E,0,0
22,A4,E,34.95,13.1
22,P4,E,8.28,1.45
23,P5,E,3.5,0
23,A5,E,7.6,0
23,P7,E,1.82,0
23,A7,E,3.5,0
23,P3,E,13.22,0
23,A3,E,24.18,0
23,A3.5,E,24.18,0
23,P4,E,8.28,13.1
23,A4,E,34.95,1.45
23,P6,E,5.41,0
23,A6,E,9.53,0
23,A6.5,E,9.53,0
23,P2,E,0,0
23,A2,E,3.6,0
23,P1,E,0,0
23,A1,E,14.01,0
24,A7,E,3.5,0
24,P7,E,1.82,0
24,A6,E,9.53,0
24,A6.5,E,9.53,0
24,P6,E,5.41,0
24,A4,E,34.95,13.1
24,P4,E,8.28,1.45
